r	g	b	c	m	y	k
0	0	0	255	255	255	0
1	1	1	254	254	254	0
2	2	2	253	253	253	0
3	3	3	252	252	252	0
4	4	4	251	251	251	0
5	5	5	250	250	250	0
6	6	6	249	249	249	0
7	7	7	248	248	248	0
8	8	8	247	247	247	0
9	9	9	246	246	246	0
10	10	10	245	245	245	0
11	11	11	244	244	244	0
12	12	12	243	243	243	0
13	13	13	242	242	242	0
14	14	14	241	241	241	0
15	15	15	240	240	240	0
16	16	16	239	239	239	0
17	17	17	238	238	238	0
18	18	18	237	237	237	0
19	19	19	236	236	236	0
20	20	20	235	235	235	0
21	21	21	234	234	234	0
22	22	22	233	233	233	0
23	23	23	232	232	232	0
24	24	24	231	231	231	0
25	25	25	230	230	230	0
26	26	26	229	229	229	0
27	27	27	228	228	228	0
28	28	28	227	227	227	0
29	29	29	226	226	226	0
30	30	30	225	225	225	0
31	31	31	224	224	224	0
32	32	32	223	223	223	0
33	33	33	222	222	222	0
34	34	34	221	221	221	0
35	35	35	220	220	220	0
36	36	36	219	219	219	0
37	37	37	218	218	218	0
38	38	38	217	217	217	0
39	39	39	216	216	216	0
40	40	40	215	215	215	0
41	41	41	214	214	214	0
42	42	42	213	213	213	0
43	43	43	212	212	212	0
44	44	44	211	211	211	0
45	45	45	210	210	210	0
46	46	46	209	209	209	0
47	47	47	208	208	208	0
48	48	48	207	207	207	0
49	49	49	206	206	206	0
50	50	50	205	205	205	0
51	51	51	204	204	204	0
52	52	52	203	203	203	0
53	53	53	202	202	202	0
54	54	54	201	201	201	0
55	55	55	200	200	200	0
56	56	56	199	199	199	0
57	57	57	198	198	198	0
58	58	58	197	197	197	0
59	59	59	196	196	196	0
60	60	60	195	195	195	0
61	61	61	194	194	194	0
62	62	62	193	193	193	0
63	63	63	192	192	192	0
64	64	64	191	191	191	0
65	65	65	190	190	190	0
66	66	66	189	189	189	0
67	67	67	188	188	188	0
68	68	68	187	187	187	0
69	69	69	186	186	186	0
70	70	70	185	185	185	0
71	71	71	184	184	184	0
72	72	72	183	183	183	0
73	73	73	182	182	182	0
74	74	74	181	181	181	0
75	75	75	180	180	180	0
76	76	76	179	179	179	0
77	77	77	178	178	178	0
78	78	78	177	177	177	0
79	79	79	176	176	176	0
80	80	80	175	175	175	0
81	81	81	174	174	174	0
82	82	82	173	173	173	0
83	83	83	172	172	172	0
84	84	84	171	171	171	0
85	85	85	170	170	170	0
86	86	86	169	169	169	0
87	87	87	168	168	168	0
88	88	88	167	167	167	0
89	89	89	166	166	166	0
90	90	90	165	165	165	0
91	91	91	164	164	164	0
92	92	92	163	163	163	0
93	93	93	162	162	162	0
94	94	94	161	161	161	0
95	95	95	160	160	160	0
96	96	96	159	159	159	0
97	97	97	158	158	158	0
98	98	98	157	157	157	0
99	99	99	156	156	156	0
100	100	100	155	155	155	0
101	101	101	154	154	154	0
102	102	102	153	153	153	0
103	103	103	152	152	152	0
104	104	104	151	151	151	0
105	105	105	150	150	150	0
106	106	106	149	149	149	0
107	107	107	148	148	148	0
108	108	108	147	147	147	0
109	109	109	146	146	146	0
110	110	110	145	145	145	0
111	111	111	144	144	144	0
112	112	112	143	143	143	0
113	113	113	142	142	142	0
114	114	114	141	141	141	0
115	115	115	140	140	140	0
116	116	116	139	139	139	0
117	117	117	138	138	138	0
