r	g	b	c	m	y	k
0	0	0	255	0	0	0
1	1	1	254	0	0	0
2	2	2	253	0	0	0
3	3	3	252	0	0	0
4	4	4	251	0	0	0
5	5	5	250	0	0	0
6	6	6	249	0	0	0
7	7	7	248	0	0	0
8	8	8	247	0	0	0
9	9	9	246	0	0	0
10	10	10	245	0	0	0
11	11	11	244	0	0	0
12	12	12	243	0	0	0
13	13	13	242	0	0	0
14	14	14	241	0	0	0
15	15	15	240	0	0	0
16	16	16	239	0	0	0
17	17	17	238	0	0	0
18	18	18	237	0	0	0
19	19	19	236	0	0	0
20	20	20	235	0	0	0
21	21	21	234	0	0	0
22	22	22	233	0	0	0
23	23	23	232	0	0	0
24	24	24	231	0	0	0
25	25	25	230	0	0	0
26	26	26	229	0	0	0
27	27	27	228	0	0	0
28	28	28	227	0	0	0
29	29	29	226	0	0	0
30	30	30	225	0	0	0
31	31	31	224	0	0	0
32	32	32	223	0	0	0
33	33	33	222	0	0	0
34	34	34	221	0	0	0
35	35	35	220	0	0	0
36	36	36	219	0	0	0
37	37	37	218	0	0	0
38	38	38	217	0	0	0
39	39	39	216	0	0	0
40	40	40	215	0	0	0
41	41	41	214	0	0	0
42	42	42	213	0	0	0
43	43	43	212	0	0	0
44	44	44	211	0	0	0
45	45	45	210	0	0	0
46	46	46	209	0	0	0
47	47	47	208	0	0	0
48	48	48	207	0	0	0
49	49	49	206	0	0	0
50	50	50	205	0	0	0
51	51	51	204	0	0	0
52	52	52	203	0	0	0
53	53	53	202	0	0	0
54	54	54	201	0	0	0
55	55	55	200	0	0	0
56	56	56	199	0	0	0
57	57	57	198	0	0	0
58	58	58	197	0	0	0
59	59	59	196	0	0	0
60	60	60	195	0	0	0
61	61	61	194	0	0	0
62	62	62	193	0	0	0
63	63	63	192	0	0	0
64	64	64	191	0	0	0
65	65	65	190	0	0	0
66	66	66	189	0	0	0
67	67	67	188	0	0	0
68	68	68	187	0	0	0
69	69	69	186	0	0	0
70	70	70	185	0	0	0
71	71	71	184	0	0	0
72	72	72	183	0	0	0
73	73	73	182	0	0	0
74	74	74	181	0	0	0
75	75	75	180	0	0	0
76	76	76	179	0	0	0
77	77	77	178	0	0	0
78	78	78	177	0	0	0
79	79	79	176	0	0	0
80	80	80	175	0	0	0
81	81	81	174	0	0	0
82	82	82	173	0	0	0
83	83	83	172	0	0	0
84	84	84	171	0	0	0
85	85	85	170	0	0	0
86	86	86	169	0	0	0
87	87	87	168	0	0	0
88	88	88	167	0	0	0
89	89	89	166	0	0	0
90	90	90	165	0	0	0
91	91	91	164	0	0	0
92	92	92	163	0	0	0
93	93	93	162	0	0	0
94	94	94	161	0	0	0
95	95	95	160	0	0	0
96	96	96	159	0	0	0
97	97	97	158	0	0	0
98	98	98	157	0	0	0
99	99	99	156	0	0	0
100	100	100	155	0	0	0
101	101	101	154	0	0	0
102	102	102	153	0	0	0
103	103	103	152	0	0	0
104	104	104	151	0	0	0
105	105	105	150	0	0	0
106	106	106	149	0	0	0
107	107	107	148	0	0	0
108	108	108	147	0	0	0
109	109	109	146	0	0	0
110	110	110	145	0	0	0
111	111	111	144	0	0	0
112	112	112	143	0	0	0
113	113	113	142	0	0	0
114	114	114	141	0	0	0
115	115	115	140	0	0	0
116	116	116	139	0	0	0
117	117	117	138	0	0	0
118	118	118	137	0	0	0
119	119	119	136	0	0	0
120	120	120	135	0	0	0
121	121	121	134	0	0	0
122	122	122	133	0	0	0
123	123	123	132	0	0	0
124	124	124	131	0	0	0
125	125	125	130	0	0	0
126	126	126	129	0	0	0
127	127	127	128	0	0	0
128	128	128	127	0	0	0
129	129	129	126	0	0	0
130	130	130	125	0	0	0
131	131	131	124	0	0	0
132	132	132	123	0	0	0
133	133	133	122	0	0	0
134	134	134	121	0	0	0
135	135	135	120	0	0	0
136	136	136	119	0	0	0
137	137	137	118	0	0	0
138	138	138	117	0	0	0
139	139	139	116	0	0	0
140	140	140	115	0	0	0
141	141	141	114	0	0	0
142	142	142	113	0	0	0
143	143	143	112	0	0	0
144	144	144	111	0	0	0
145	145	145	110	0	0	0
146	146	146	109	0	0	0
147	147	147	108	0	0	0
148	148	148	107	0	0	0
149	149	149	106	0	0	0
150	150	150	105	0	0	0
151	151	151	104	0	0	0
152	152	152	103	0	0	0
153	153	153	102	0	0	0
154	154	154	101	0	0	0
155	155	155	100	0	0	0
156	156	156	99	0	0	0
157	157	157	98	0	0	0
158	158	158	97	0	0	0
159	159	159	96	0	0	0
160	160	160	95	0	0	0
161	161	161	94	0	0	0
162	162	162	93	0	0	0
163	163	163	92	0	0	0
164	164	164	91	0	0	0
165	165	165	90	0	0	0
166	166	166	89	0	0	0
167	167	167	88	0	0	0
168	168	168	87	0	0	0
169	169	169	86	0	0	0
170	170	170	85	0	0	0
171	171	171	84	0	0	0
172	172	172	83	0	0	0
173	173	173	82	0	0	0
174	174	174	81	0	0	0
175	175	175	80	0	0	0
176	176	176	79	0	0	0
177	177	177	78	0	0	0
178	178	178	77	0	0	0
179	179	179	76	0	0	0
180	180	180	75	0	0	0
181	181	181	74	0	0	0
182	182	182	73	0	0	0
183	183	183	72	0	0	0
184	184	184	71	0	0	0
185	185	185	70	0	0	0
186	186	186	69	0	0	0
187	187	187	68	0	0	0
188	188	188	67	0	0	0
189	189	189	66	0	0	0
190	190	190	65	0	0	0
191	191	191	64	0	0	0
192	192	192	63	0	0	0
193	193	193	62	0	0	0
194	194	194	61	0	0	0
195	195	195	60	0	0	0
196	196	196	59	0	0	0
197	197	197	58	0	0	0
198	198	198	57	0	0	0
199	199	199	56	0	0	0
200	200	200	55	0	0	0
201	201	201	54	0	0	0
202	202	202	53	0	0	0
203	203	203	52	0	0	0
204	204	204	51	0	0	0
205	205	205	50	0	0	0
206	206	206	49	0	0	0
207	207	207	48	0	0	0
208	208	208	47	0	0	0
209	209	209	46	0	0	0
210	210	210	45	0	0	0
211	211	211	44	0	0	0
212	212	212	43	0	0	0
213	213	213	42	0	0	0
214	214	214	41	0	0	0
215	215	215	40	0	0	0
216	216	216	39	0	0	0
217	217	217	38	0	0	0
218	218	218	37	0	0	0
219	219	219	36	0	0	0
220	220	220	35	0	0	0
221	221	221	34	0	0	0
222	222	222	33	0	0	0
223	223	223	32	0	0	0
224	224	224	31	0	0	0
225	225	225	30	0	0	0
226	226	226	29	0	0	0
227	227	227	28	0	0	0
228	228	228	27	0	0	0
229	229	229	26	0	0	0
230	230	230	25	0	0	0
231	231	231	24	0	0	0
232	232	232	23	0	0	0
233	233	233	22	0	0	0
234	234	234	21	0	0	0
235	235	235	20	0	0	0
236	236	236	19	0	0	0
237	237	237	18	0	0	0
238	238	238	17	0	0	0
239	239	239	16	0	0	0
240	240	240	15	0	0	0
241	241	241	14	0	0	0
242	242	242	13	0	0	0
243	243	243	12	0	0	0
244	244	244	11	0	0	0
245	245	245	10	0	0	0
246	246	246	9	0	0	0
247	247	247	8	0	0	0
248	248	248	7	0	0	0
249	249	249	6	0	0	0
250	250	250	5	0	0	0
251	251	251	4	0	0	0
252	252	252	3	0	0	0
253	253	253	2	0	0	0
254	254	254	1	0	0	0
255	255	255	0	0	0	0
