r	g	b	c	m	y	k
0	0	0	0	0	0	255
1	1	1	0	0	0	254
2	2	2	0	0	0	253
3	3	3	0	0	0	252
4	4	4	0	0	0	251
5	5	5	0	0	0	250
6	6	6	0	0	0	249
7	7	7	0	0	0	248
8	8	8	0	0	0	247
9	9	9	0	0	0	246
10	10	10	0	0	0	245
11	11	11	0	0	0	244
12	12	12	0	0	0	243
13	13	13	0	0	0	242
14	14	14	0	0	0	241
15	15	15	0	0	0	240
16	16	16	0	0	0	239
17	17	17	0	0	0	238
18	18	18	0	0	0	237
19	19	19	0	0	0	236
20	20	20	0	0	0	235
21	21	21	0	0	0	234
22	22	22	0	0	0	233
23	23	23	0	0	0	232
24	24	24	0	0	0	231
25	25	25	0	0	0	230
26	26	26	0	0	0	229
27	27	27	0	0	0	228
28	28	28	0	0	0	227
29	29	29	0	0	0	226
30	30	30	0	0	0	225
31	31	31	0	0	0	224
32	32	32	0	0	0	223
33	33	33	0	0	0	222
34	34	34	0	0	0	221
35	35	35	0	0	0	220
36	36	36	0	0	0	219
37	37	37	0	0	0	218
38	38	38	0	0	0	217
39	39	39	0	0	0	216
40	40	40	0	0	0	215
41	41	41	0	0	0	214
42	42	42	0	0	0	213
43	43	43	0	0	0	212
44	44	44	0	0	0	211
45	45	45	0	0	0	210
46	46	46	0	0	0	209
47	47	47	0	0	0	208
48	48	48	0	0	0	207
49	49	49	0	0	0	206
50	50	50	0	0	0	205
51	51	51	0	0	0	204
52	52	52	0	0	0	203
53	53	53	0	0	0	202
54	54	54	0	0	0	201
55	55	55	0	0	0	200
56	56	56	0	0	0	199
57	57	57	0	0	0	198
58	58	58	0	0	0	197
59	59	59	0	0	0	196
60	60	60	0	0	0	195
61	61	61	0	0	0	194
62	62	62	0	0	0	193
63	63	63	0	0	0	192
64	64	64	0	0	0	191
65	65	65	0	0	0	190
66	66	66	0	0	0	189
67	67	67	0	0	0	188
68	68	68	0	0	0	187
69	69	69	0	0	0	186
70	70	70	0	0	0	185
71	71	71	0	0	0	184
72	72	72	0	0	0	183
73	73	73	0	0	0	182
